Run_Date,Ticker,Company_Name,Sector,Total_Score,Score_Size,Score_FCFP,Market_Cap_Billion,Enterprise_Value,BM_Ratio,FCF_Yield_Pct,ROA,EBITDA_Margin,Asset_Growth,EBITDA_Growth,Inv_Dummy,Price_Range_Pct,Momentum_6M_Pct,Score_Momentum,Data_Quality_Flag
2026-06-12,UPWK,"Upwork, Inc.",Industrials,84.34,94.5,91.1,1.04B,844706432.0,0.6031933426770476,16.49%,0.08881715631203928,0.1977166329856915,0.07260321571326818,0.879863860191175,0.0,6.62%,-50.35%,97.6,
2026-06-12,GTM,ZoomInfo,Communication Services,83.7,71.6,98.5,0.79B,2183344384.0,1.9101230184553206,44.92%,0.01928721174004193,0.26066426570628254,-0.004344733749768075,1.0838131797824697,0.0,0.91%,-74.33%,99.3,要確認: FCF異常値(>30%)
2026-06-12,CERT,"Certara, Inc.",Health Care,80.43,93.1,88.7,0.82B,974971456.0,1.2963673809832539,14.22%,-0.0010246809997802879,0.24476289161919407,-0.011759223517939133,0.4165733946855698,0.0,8.7%,-36.35%,93.8,
2026-06-12,CALM,"Cal-Maine Foods, Inc.",Consumer Staples,78.42,64.0,74.9,3.78B,2639005184.0,0.6767033512873106,8.71%,0.3955263194579298,0.39836246168068823,0.41187937719503415,2.8519174790873056,0.0,14.59%,-11.0%,77.4,
2026-06-12,INSP,"Inspire Medical Systems, Inc.",Health Care,77.34,93.4,66.5,1.22B,968548224.0,0.6388132028940603,7.0%,0.16027694840943132,0.08749195432799586,0.12238505757790552,0.22708189158016148,0.0,3.26%,-53.32%,97.8,
2026-06-12,YELP,"Yelp, Inc.",Communication Services,76.8,87.7,94.8,1.27B,1310397952.0,0.5615450009530083,22.27%,0.15190750335427625,0.1672481407278722,-0.025508175853805586,0.18622970185818172,0.0,20.87%,-22.57%,89.7,
2026-06-12,WGO,"Winnebago Industries, Inc.",Consumer Discretionary,76.72,89.3,87.4,0.79B,1225633920.0,1.5408249076576976,13.49%,0.011929075380616412,0.04166964477163891,-0.09638453149903532,-0.012701100762066046,0.0,3.63%,-14.94%,83.2,
2026-06-12,INVA,"Innoviva, Inc.",Health Care,76.13,86.5,62.6,1.66B,1375755264.0,0.7081225414129977,6.35%,0.16583341742270657,0.8991291621285203,0.2567944599019261,3.325629539526778,0.0,68.6%,0.72%,70.7,
2026-06-12,AGO,Assured Guaranty Ltd.,Financials,75.89,45.7,55.7,3.35B,3863762176.0,1.6906872311428145,5.52%,0.0413107752956636,,0.02310730190740274,,,14.66%,-12.8%,80.5,金融・不動産セクター特化評価
2026-06-12,VRRM,Verra Mobility Corporation,Industrials,75.01,80.6,70.2,0.68B,1729835904.0,0.42856726895777025,7.89%,0.08302616211591445,0.38394756705025845,0.01930827648872182,0.4343411604001801,0.0,4.9%,-80.36%,99.8,
2026-06-12,VRTS,"Virtus Investment Partners, Inc.",Financials,74.98,86.0,63.3,0.95B,1406788736.0,0.9803099268993661,6.46%,0.032251118568232665,0.4873857904240276,0.07427874469206863,-0.10202259008000834,1.0,22.45%,-11.25%,77.9,金融・不動産セクター特化評価
2026-06-12,EFOR,Everforth Inc.,Information Technology,74.84,71.1,96.8,0.83B,2216499968.0,2.1782178217821784,32.61%,0.030865036847687162,0.086373228821224,0.07241178186060075,-0.14200149737958573,1.0,7.53%,-55.55%,98.1,要確認: FCF異常値(>30%)
2026-06-12,GBX,"The Greenbrier Companies, Inc.",Industrials,74.15,59.7,78.1,1.47B,2963480064.0,1.0452332138260396,9.23%,0.04680548548364904,0.149743842972656,0.0249383006228699,0.12003693444136658,0.0,43.7%,12.68%,55.8,
2026-06-12,AMPH,"Amphstar Pharmaceuticals, Inc.",Health Care,74.14,87.9,82.5,0.91B,1299654656.0,0.8713885415925785,11.39%,0.060206260483803155,0.2949157298298205,0.0328557753871706,-0.23441466651280868,1.0,26.56%,-26.23%,90.6,
2026-06-12,HCI,"HCI Group, Inc.",Financials,73.71,89.8,94.1,2.07B,1211732736.0,0.5030741170193624,21.72%,0.1182338919890167,,0.133940121414412,,,34.74%,-13.77%,82.0,金融・不動産セクター特化評価
2026-06-12,GDYN,"Grid Dynamics Holdings, Inc.",Information Technology,72.51,98.8,52.2,0.54B,227663520.0,1.008103690218947,4.99%,0.015774445659090537,0.05635376019542186,0.03495150221549768,0.21941992433795712,0.0,16.82%,-24.0%,90.1,
2026-06-12,KMPR,Kemper Corporation,Financials,72.42,67.3,96.3,1.46B,2465003520.0,1.83795563203893,31.51%,0.011489092177315257,,-0.012485748669875856,,,4.9%,-30.76%,92.5,金融・不動産セクター特化評価
2026-06-12,DLX,Deluxe Corporation,Industrials,72.32,66.8,89.9,1.06B,2479400960.0,0.6419467527019731,14.84%,0.028670205335940772,0.1776673542096381,0.011515365595196043,0.03750342184505886,0.0,48.97%,16.05%,50.5,
2026-06-12,CXM,"Sprinklr, Inc.",Information Technology,72.01,94.1,80.5,1.26B,861168768.0,0.47029530713683226,10.33%,0.019007336558066357,0.08876341577228185,0.01761697147185566,0.6733670552012316,0.0,14.19%,-28.27%,91.6,
2026-06-12,CABO,Cable One,Communication Services,71.33,55.7,99.8,0.24B,3178405376.0,6.079361312173646,110.79%,-0.06378605646422121,0.10799088597950078,-0.1436648919420248,-0.7760274502436706,1.0,0.49%,-63.59%,98.8,要確認: FCF異常値(>30%)
2026-06-12,ADUS,Addus HomeCare Corp.,Health Care,70.9,80.3,59.4,1.74B,1736801536.0,0.6249690654700143,5.92%,0.06672891266172595,0.11069643522456468,0.01746666156980506,0.3055507192306098,0.0,13.95%,-18.17%,86.1,
2026-06-12,COLL,"Collegium Pharmaceutical, Inc.",Health Care,70.71,82.0,95.8,1.11B,1621713024.0,0.2708578744738619,29.86%,0.037945865427677125,0.5137355281481282,-0.004061695452788576,0.1735518083008001,0.0,24.23%,-27.48%,91.3,
2026-06-12,LNC,Lincoln Financial,Financials,70.07,99.8,98.0,7.0B,-27990597632.0,1.5583555116500727,41.03%,0.0028211618297044132,,0.06747929411945316,,,32.45%,-10.4%,77.2,金融・不動産セクター特化評価
2026-06-12,CNMD,CONMED Corporation,Health Care,69.93,78.0,84.0,1.04B,1861895424.0,0.9971426832528683,12.15%,0.020232191865932222,0.12837849633817405,0.008456162761404134,-0.35159433175473853,1.0,9.3%,-21.01%,88.5,
2026-06-12,EMBC,Embecta Corp.,Health Care,69.66,86.7,99.5,0.18B,1370329216.0,-3.56374288269323,107.15%,0.08745072875607297,0.2631432802665679,-0.15124873570372677,0.4753502854177478,0.0,2.43%,-78.1%,99.5,要確認: FCF異常値(>30%)
2026-06-12,CRGY,Crescent Energy Company,Energy,69.38,8.1,91.4,3.79B,9033613312.0,1.3604628729476318,16.59%,0.010681008521356271,0.4656719319779808,0.3583324718587078,0.6720401850373324,0.0,57.49%,30.02%,32.9,
2026-06-12,VSNT,"Versant Media Group, Inc.",Communication Services,69.06,14.7,97.0,5.67B,7541655552.0,1.8143178717629693,32.7%,0.07540744344441741,0.33657296650717705,0.02357042078180762,-0.2051553672316384,1.0,40.59%,-11.28%,78.4,要確認: FCF異常値(>30%)
2026-06-12,DXC,DXC Technology,Information Technology,69.04,41.0,99.3,1.43B,4219892224.0,2.0572939564350734,56.59%,0.0013964313421256788,0.13571654539702627,-0.023854600530102233,-0.22282608695652173,1.0,10.76%,-35.9%,93.3,要確認: FCF異常値(>30%)
2026-06-12,LEG,Leggett & Platt,Consumer Discretionary,68.98,65.2,92.1,1.46B,2594998528.0,0.7014624701203479,17.23%,0.06656486822757607,0.11960247589455254,-0.034192702643653046,2.6881308736512355,0.0,54.86%,19.63%,44.2,
2026-06-12,ACT,"Enact Holdings, Inc.",Financials,68.66,22.3,79.6,5.87B,6063232512.0,0.9126977992490098,10.07%,0.09780914274473827,,0.05703185340988182,,,74.49%,13.48%,53.8,金融・不動産セクター特化評価
2026-06-12,AZTA,"Azenta, Inc.",Health Care,68.61,96.0,79.3,1.04B,710438400.0,1.668191665729561,9.79%,-0.027074911316956548,0.06657898592336747,-0.01937041278124427,-0.22301705840735792,1.0,25.31%,-27.01%,91.1,
2026-06-12,UPBD,"Upbound Group, Inc.",Consumer Discretionary,68.04,62.3,100.0,1.08B,2713369344.0,0.6420158658145463,143.95%,0.022356590084311102,0.3697178801297789,0.23641468232551927,0.01566579328923148,1.0,22.69%,11.22%,58.2,要確認: FCF異常値(>30%)
2026-06-12,ADT,ADT Inc.,Consumer Discretionary,67.8,3.8,93.3,5.11B,12878486528.0,0.7393230991783805,19.33%,0.03767427920364944,0.518720190492272,-0.014481753330969611,0.022844041882473624,0.0,17.5%,-17.21%,84.6,
